scene,ray_kind,ray_order,bvh_builder,width,height,max_leaf_triangles,timing_scope,sample_index,milliseconds
Grid,primary,packet-shuffled,builtin-binned-SAH,256,144,16,integrated-cuda32,6,0.601087987
Grid,primary,packet-shuffled,builtin-binned-SAH,256,144,16,integrated-cuda32,7,0.605184019
Grid,primary,packet-shuffled,builtin-binned-SAH,256,144,16,integrated-cuda32,8,0.619520009
Grid,primary,packet-shuffled,builtin-binned-SAH,256,144,16,integrated-matched,0,1.33324802
Grid,primary,packet-shuffled,builtin-binned-SAH,256,144,16,integrated-matched,1,1.32710397
Grid,primary,packet-shuffled,builtin-binned-SAH,256,144,16,integrated-matched,2,1.32300794
Grid,primary,packet-shuffled,builtin-binned-SAH,256,144,16,integrated-matched,3,1.33836806
Grid,primary,packet-shuffled,builtin-binned-SAH,256,144,16,integrated-matched,4,1.32703996
Grid,primary,packet-shuffled,builtin-binned-SAH,256,144,16,integrated-matched,5,1.32096004
Grid,primary,packet-shuffled,builtin-binned-SAH,256,144,16,integrated-matched,6,1.31993604
Grid,primary,packet-shuffled,builtin-binned-SAH,256,144,16,integrated-matched,7,1.32710397
Grid,primary,packet-shuffled,builtin-binned-SAH,256,144,16,integrated-matched,8,1.31468797
Grid,primary,packet-shuffled,builtin-binned-SAH,256,144,16,integrated-tensor,0,1.47763205
Grid,primary,packet-shuffled,builtin-binned-SAH,256,144,16,integrated-tensor,1,1.46713603
Grid,primary,packet-shuffled,builtin-binned-SAH,256,144,16,integrated-tensor,2,1.47456002
Grid,primary,packet-shuffled,builtin-binned-SAH,256,144,16,integrated-tensor,3,1.48070395
Grid,primary,packet-shuffled,builtin-binned-SAH,256,144,16,integrated-tensor,4,1.48582399
Grid,primary,packet-shuffled,builtin-binned-SAH,256,144,16,integrated-tensor,5,1.48377597
Grid,primary,packet-shuffled,builtin-binned-SAH,256,144,16,integrated-tensor,6,1.49504006
Grid,primary,packet-shuffled,builtin-binned-SAH,256,144,16,integrated-tensor,7,1.47558403
Grid,primary,packet-shuffled,builtin-binned-SAH,256,144,16,integrated-tensor,8,1.48889601
Grid,primary,packet-shuffled,builtin-binned-SAH,256,144,16,separated-traversal,0,1.40486395
