scene,ray_kind,ray_order,bvh_builder,width,height,max_leaf_triangles,timing_scope,sample_index,milliseconds
Grid,primary,coherent,builtin-binned-SAH,256,144,256,integrated-cuda32,0,1.41721594
Grid,primary,coherent,builtin-binned-SAH,256,144,256,integrated-cuda32,1,1.44464004
Grid,primary,coherent,builtin-binned-SAH,256,144,256,integrated-cuda32,2,1.42745602
Grid,primary,coherent,builtin-binned-SAH,256,144,256,integrated-cuda32,3,1.41312003
Grid,primary,coherent,builtin-binned-SAH,256,144,256,integrated-cuda32,4,1.42131197
Grid,primary,coherent,builtin-binned-SAH,256,144,256,integrated-cuda32,5,1.36192
Grid,primary,coherent,builtin-binned-SAH,256,144,256,integrated-cuda32,6,1.34246397
Grid,primary,coherent,builtin-binned-SAH,256,144,256,integrated-cuda32,7,1.44895995
Grid,primary,coherent,builtin-binned-SAH,256,144,256,integrated-cuda32,8,1.46835196
Grid,primary,coherent,builtin-binned-SAH,256,144,256,integrated-matched,0,1.33427203
Grid,primary,coherent,builtin-binned-SAH,256,144,256,integrated-matched,1,1.36806405
Grid,primary,coherent,builtin-binned-SAH,256,144,256,integrated-matched,2,1.39571202
Grid,primary,coherent,builtin-binned-SAH,256,144,256,integrated-matched,3,1.40287995
Grid,primary,coherent,builtin-binned-SAH,256,144,256,integrated-matched,4,1.42950404
Grid,primary,coherent,builtin-binned-SAH,256,144,256,integrated-matched,5,1.37728
Grid,primary,coherent,builtin-binned-SAH,256,144,256,integrated-matched,6,1.34246397
Grid,primary,coherent,builtin-binned-SAH,256,144,256,integrated-matched,7,1.37113595
Grid,primary,coherent,builtin-binned-SAH,256,144,256,integrated-matched,8,1.38035202
Grid,primary,coherent,builtin-binned-SAH,256,144,256,integrated-tensor,0,1.43359995
Grid,primary,coherent,builtin-binned-SAH,256,144,256,integrated-tensor,1,1.44384003
Grid,primary,coherent,builtin-binned-SAH,256,144,256,integrated-tensor,2,1.46431994
Grid,primary,coherent,builtin-binned-SAH,256,144,256,integrated-tensor,3,1.439744
Grid,primary,coherent,builtin-binned-SAH,256,144,256,integrated-tensor,4,1.46003199
Grid,primary,coherent,builtin-binned-SAH,256,144,256,integrated-tensor,5,1.445696
Grid,primary,coherent,builtin-binned-SAH,256,144,256,integrated-tensor,6,1.41209602
Grid,primary,coherent,builtin-binned-SAH,256,144,256,integrated-tensor,7,1.39673603
Grid,primary,coherent,builtin-binned-SAH,256,144,256,integrated-tensor,8,1.46316803
Grid,primary,coherent,builtin-binned-SAH,256,144,256,separated-traversal,0,0.253951997
Grid,primary,coherent,builtin-binned-SAH,256,144,256,separated-traversal,1,0.250880003
Grid,primary,coherent,builtin-binned-SAH,256,144,256,separated-traversal,2,0.250847995
