scene,ray_kind,ray_order,bvh_builder,width,height,max_leaf_triangles,timing_scope,sample_index,milliseconds
CheckerHigh,primary,packet-shuffled,builtin-binned-SAH,256,144,4,integrated-cuda32,2,0.678911984
CheckerHigh,primary,packet-shuffled,builtin-binned-SAH,256,144,4,integrated-cuda32,3,0.67584002
CheckerHigh,primary,packet-shuffled,builtin-binned-SAH,256,144,4,integrated-cuda32,4,0.673792005
CheckerHigh,primary,packet-shuffled,builtin-binned-SAH,256,144,4,integrated-cuda32,5,0.671743989
CheckerHigh,primary,packet-shuffled,builtin-binned-SAH,256,144,4,integrated-cuda32,6,0.667648017
CheckerHigh,primary,packet-shuffled,builtin-binned-SAH,256,144,4,integrated-cuda32,7,0.688127995
CheckerHigh,primary,packet-shuffled,builtin-binned-SAH,256,144,4,integrated-cuda32,8,0.670719981
CheckerHigh,primary,packet-shuffled,builtin-binned-SAH,256,144,4,integrated-matched,0,1.71190405
CheckerHigh,primary,packet-shuffled,builtin-binned-SAH,256,144,4,integrated-matched,1,1.71929598
CheckerHigh,primary,packet-shuffled,builtin-binned-SAH,256,144,4,integrated-matched,2,1.71008003
CheckerHigh,primary,packet-shuffled,builtin-binned-SAH,256,144,4,integrated-matched,3,1.69644797
CheckerHigh,primary,packet-shuffled,builtin-binned-SAH,256,144,4,integrated-matched,4,1.70905602
CheckerHigh,primary,packet-shuffled,builtin-binned-SAH,256,144,4,integrated-matched,5,1.710976
CheckerHigh,primary,packet-shuffled,builtin-binned-SAH,256,144,4,integrated-matched,6,1.69779205
CheckerHigh,primary,packet-shuffled,builtin-binned-SAH,256,144,4,integrated-matched,7,1.69164801
CheckerHigh,primary,packet-shuffled,builtin-binned-SAH,256,144,4,integrated-matched,8,1.70495999
CheckerHigh,primary,packet-shuffled,builtin-binned-SAH,256,144,4,integrated-tensor,0,1.79804802
CheckerHigh,primary,packet-shuffled,builtin-binned-SAH,256,144,4,integrated-tensor,1,1.81734395
CheckerHigh,primary,packet-shuffled,builtin-binned-SAH,256,144,4,integrated-tensor,2,1.79814398
CheckerHigh,primary,packet-shuffled,builtin-binned-SAH,256,144,4,integrated-tensor,3,1.79884803
CheckerHigh,primary,packet-shuffled,builtin-binned-SAH,256,144,4,integrated-tensor,4,1.816576
CheckerHigh,primary,packet-shuffled,builtin-binned-SAH,256,144,4,integrated-tensor,5,1.79200006
CheckerHigh,primary,packet-shuffled,builtin-binned-SAH,256,144,4,integrated-tensor,6,1.80649602
CheckerHigh,primary,packet-shuffled,builtin-binned-SAH,256,144,4,integrated-tensor,7,1.81350398
CheckerHigh,primary,packet-shuffled,builtin-binned-SAH,256,144,4,integrated-tensor,8,1.82374406
CheckerHigh,primary,packet-shuffled,builtin-binned-SAH,256,144,4,separated-traversal,0,2.87129593
CheckerHigh,primary,packet-shuffled,builtin-binned-SAH,256,144,4,separated-traversal,1,2.92732811
CheckerHigh,primary,packet-shuffled,builtin-binned-SAH,256,144,4,separated-traversal,2,2.8620801
CheckerHigh,primary,packet-shuffled,builtin-binned-SAH,256,144,4,separated-traversal,3,2.92352009
CheckerHigh,primary,packet-shuffled,builtin-binned-SAH,256,144,4,separated-traversal,4,2.88972807
CheckerHigh,primary,packet-shuffled,builtin-binned-SAH,256,144,4,separated-traversal,5,2.87945604
CheckerHigh,primary,packet-shuffled,builtin-binned-SAH,256,144,4,separated-traversal,6,2.91328001
CheckerHigh,primary,packet-shuffled,builtin-binned-SAH,256,144,4,separated-traversal,7,2.88870406
CheckerHigh,primary,packet-shuffled,builtin-binned-SAH,256,144,4,separated-traversal,8,2.90099192
CheckerHigh,primary,packet-shuffled,builtin-binned-SAH,256,144,4,separated-matched-leaves,0,0.178176001
CheckerHigh,primary,packet-shuffled,builtin-binned-SAH,256,144,4,separated-matched-leaves,1,0.174079999
CheckerHigh,primary,packet-shuffled,builtin-binned-SAH,256,144,4,separated-matched-leaves,2,0.174079999
CheckerHigh,primary,packet-shuffled,builtin-binned-SAH,256,144,4,separated-matched-leaves,3,0.175104007
CheckerHigh,primary,packet-shuffled,builtin-binned-SAH,256,144,4,separated-matched-leaves,4,0.175104007
CheckerHigh,primary,packet-shuffled,builtin-binned-SAH,256,144,4,separated-matched-leaves,5,0.173056006
CheckerHigh,primary,packet-shuffled,builtin-binned-SAH,256,144,4,separated-matched-leaves,6,0.173056006
CheckerHigh,primary,packet-shuffled,builtin-binned-SAH,256,144,4,separated-matched-leaves,7,0.176064
CheckerHigh,primary,packet-shuffled,builtin-binned-SAH,256,144,4,separated-matched-leaves,8,0.174079999
CheckerHigh,primary,packet-shuffled,builtin-binned-SAH,256,144,4,separated-tensor-leaves,0,0.231360003
CheckerHigh,primary,packet-shuffled,builtin-binned-SAH,256,144,4,separated-tensor-leaves,1,0.230399996
CheckerHigh,primary,packet-shuffled,builtin-binned-SAH,256,144,4,separated-tensor-leaves,2,0.228351995
CheckerHigh,primary,packet-shuffled,builtin-binned-SAH,256,144,4,separated-tensor-leaves,3,0.230399996
CheckerHigh,primary,packet-shuffled,builtin-binned-SAH,256,144,4,separated-tensor-leaves,4,0.228351995
CheckerHigh,primary,packet-shuffled,builtin-binned-SAH,256,144,4,separated-tensor-leaves,5,0.231135994
CheckerHigh,primary,packet-shuffled,builtin-binned-SAH,256,144,4,separated-tensor-leaves,6,0.232447997
CheckerHigh,primary,packet-shuffled,builtin-binned-SAH,256,144,4,separated-tensor-leaves,7,0.230399996
CheckerHigh,primary,packet-shuffled,builtin-binned-SAH,256,144,4,separated-tensor-leaves,8,0.232447997
CheckerHigh,primary,coherent,builtin-binned-SAH,256,144,8,integrated-cuda32,0,0.408576012
CheckerHigh,primary,coherent,builtin-binned-SAH,256,144,8,integrated-cuda32,1,0.409440011
CheckerHigh,primary,coherent,builtin-binned-SAH,256,144,8,integrated-cuda32,2,0.407552004
CheckerHigh,primary,coherent,builtin-binned-SAH,256,144,8,integrated-cuda32,3,0.406495988
CheckerHigh,primary,coherent,builtin-binned-SAH,256,144,8,integrated-cuda32,4,0.40448001
CheckerHigh,primary,coherent,builtin-binned-SAH,256,144,8,integrated-cuda32,5,0.412672013
CheckerHigh,primary,coherent,builtin-binned-SAH,256,144,8,integrated-cuda32,6,0.421887994
CheckerHigh,primary,coherent,builtin-binned-SAH,256,144,8,integrated-cuda32,7,0.408544004
CheckerHigh,primary,coherent,builtin-binned-SAH,256,144,8,integrated-cuda32,8,0.418816
CheckerHigh,primary,coherent,builtin-binned-SAH,256,144,8,integrated-matched,0,1.13964796
CheckerHigh,primary,coherent,builtin-binned-SAH,256,144,8,integrated-matched,1,1.13152003
CheckerHigh,primary,coherent,builtin-binned-SAH,256,144,8,integrated-matched,2,1.14790404
CheckerHigh,primary,coherent,builtin-binned-SAH,256,144,8,integrated-matched,3,1.13254404
CheckerHigh,primary,coherent,builtin-binned-SAH,256,144,8,integrated-matched,4,1.12604797
CheckerHigh,primary,coherent,builtin-binned-SAH,256,144,8,integrated-matched,5,1.12624002
CheckerHigh,primary,coherent,builtin-binned-SAH,256,144,8,integrated-matched,6,1.12947202
CheckerHigh,primary,coherent,builtin-binned-SAH,256,144,8,integrated-matched,7,1.12639999
CheckerHigh,primary,coherent,builtin-binned-SAH,256,144,8,integrated-matched,8,1.13436794
CheckerHigh,primary,coherent,builtin-binned-SAH,256,144,8,integrated-tensor,0,1.22335994
CheckerHigh,primary,coherent,builtin-binned-SAH,256,144,8,integrated-tensor,1,1.19296002
CheckerHigh,primary,coherent,builtin-binned-SAH,256,144,8,integrated-tensor,2,1.205248
CheckerHigh,primary,coherent,builtin-binned-SAH,256,144,8,integrated-tensor,3,1.20230401
CheckerHigh,primary,coherent,builtin-binned-SAH,256,144,8,integrated-tensor,4,1.19091201
CheckerHigh,primary,coherent,builtin-binned-SAH,256,144,8,integrated-tensor,5,1.23391998
CheckerHigh,primary,coherent,builtin-binned-SAH,256,144,8,integrated-tensor,6,1.23289597
CheckerHigh,primary,coherent,builtin-binned-SAH,256,144,8,integrated-tensor,7,1.21459198
CheckerHigh,primary,coherent,builtin-binned-SAH,256,144,8,integrated-tensor,8,1.20406401
CheckerHigh,primary,coherent,builtin-binned-SAH,256,144,8,separated-traversal,0,1.91660798
CheckerHigh,primary,coherent,builtin-binned-SAH,256,144,8,separated-traversal,1,1.94227195
CheckerHigh,primary,coherent,builtin-binned-SAH,256,144,8,separated-traversal,2,1.93331206
CheckerHigh,primary,coherent,builtin-binned-SAH,256,144,8,separated-traversal,3,1.93417597
CheckerHigh,primary,coherent,builtin-binned-SAH,256,144,8,separated-traversal,4,1.95276797
CheckerHigh,primary,coherent,builtin-binned-SAH,256,144,8,separated-traversal,5,1.91897595
CheckerHigh,primary,coherent,builtin-binned-SAH,256,144,8,separated-traversal,6,1.94457603
CheckerHigh,primary,coherent,builtin-binned-SAH,256,144,8,separated-traversal,7,1.8944
CheckerHigh,primary,coherent,builtin-binned-SAH,256,144,8,separated-traversal,8,1.93638396
CheckerHigh,primary,coherent,builtin-binned-SAH,256,144,8,separated-matched-leaves,0,0.562143981
CheckerHigh,primary,coherent,builtin-binned-SAH,256,144,8,separated-matched-leaves,1,0.550912023
CheckerHigh,primary,coherent,builtin-binned-SAH,256,144,8,separated-matched-leaves,2,0.549888015
CheckerHigh,primary,coherent,builtin-binned-SAH,256,144,8,separated-matched-leaves,3,0.553983986
