scene,ray_kind,ray_order,bvh_builder,width,height,max_leaf_triangles,timing_scope,sample_index,milliseconds
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,256,144,16,separated-tensor-leaves,5,0.540543973
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,256,144,16,separated-tensor-leaves,6,0.539647996
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,256,144,16,separated-tensor-leaves,7,0.540672004
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,256,144,16,separated-tensor-leaves,8,0.538911998
Grid,secondary-diffuse,packet-shuffled,builtin-binned-SAH,256,144,16,integrated-cuda32,0,0.487423986
Grid,secondary-diffuse,packet-shuffled,builtin-binned-SAH,256,144,16,integrated-cuda32,1,0.478208005
Grid,secondary-diffuse,packet-shuffled,builtin-binned-SAH,256,144,16,integrated-cuda32,2,0.477183998
Grid,secondary-diffuse,packet-shuffled,builtin-binned-SAH,256,144,16,integrated-cuda32,3,0.474112004
Grid,secondary-diffuse,packet-shuffled,builtin-binned-SAH,256,144,16,integrated-cuda32,4,0.47615999
Grid,secondary-diffuse,packet-shuffled,builtin-binned-SAH,256,144,16,integrated-cuda32,5,0.479936004
Grid,secondary-diffuse,packet-shuffled,builtin-binned-SAH,256,144,16,integrated-cuda32,6,0.477183998
Grid,secondary-diffuse,packet-shuffled,builtin-binned-SAH,256,144,16,integrated-cuda32,7,0.477120012
Grid,secondary-diffuse,packet-shuffled,builtin-binned-SAH,256,144,16,integrated-cuda32,8,0.478080004
Grid,secondary-diffuse,packet-shuffled,builtin-binned-SAH,256,144,16,integrated-matched,0,0.87638402
Grid,secondary-diffuse,packet-shuffled,builtin-binned-SAH,256,144,16,integrated-matched,1,0.887776017
Grid,secondary-diffuse,packet-shuffled,builtin-binned-SAH,256,144,16,integrated-matched,2,0.876543999
Grid,secondary-diffuse,packet-shuffled,builtin-binned-SAH,256,144,16,integrated-matched,3,0.881663978
Grid,secondary-diffuse,packet-shuffled,builtin-binned-SAH,256,144,16,integrated-matched,4,0.88163197
Grid,secondary-diffuse,packet-shuffled,builtin-binned-SAH,256,144,16,integrated-matched,5,0.885631979
Grid,secondary-diffuse,packet-shuffled,builtin-binned-SAH,256,144,16,integrated-matched,6,0.868351996
Grid,secondary-diffuse,packet-shuffled,builtin-binned-SAH,256,144,16,integrated-matched,7,0.877568007
Grid,secondary-diffuse,packet-shuffled,builtin-binned-SAH,256,144,16,integrated-matched,8,0.868351996
Grid,secondary-diffuse,packet-shuffled,builtin-binned-SAH,256,144,16,integrated-tensor,0,1.12412798
Grid,secondary-diffuse,packet-shuffled,builtin-binned-SAH,256,144,16,integrated-tensor,1,1.11820805
Grid,secondary-diffuse,packet-shuffled,builtin-binned-SAH,256,144,16,integrated-tensor,2,1.09465599
Grid,secondary-diffuse,packet-shuffled,builtin-binned-SAH,256,144,16,integrated-tensor,3,1.10899198
Grid,secondary-diffuse,packet-shuffled,builtin-binned-SAH,256,144,16,integrated-tensor,4,1.10080004
Grid,secondary-diffuse,packet-shuffled,builtin-binned-SAH,256,144,16,integrated-tensor,5,1.11104
Grid,secondary-diffuse,packet-shuffled,builtin-binned-SAH,256,144,16,integrated-tensor,6,1.114048
Grid,secondary-diffuse,packet-shuffled,builtin-binned-SAH,256,144,16,integrated-tensor,7,1.13561594
Grid,secondary-diffuse,packet-shuffled,builtin-binned-SAH,256,144,16,integrated-tensor,8,1.09977603
Grid,secondary-diffuse,packet-shuffled,builtin-binned-SAH,256,144,16,separated-traversal,0,0.760832012
